id,Subject,Type,Status,Assignee,Priority,Work,Total work,Version,Team,Story Points,Sprint,Project phase,Project,Position,Parent,Created on,Author,Accountable,Description
477,GD_Play test_Camera_Drift,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,236,"User story #376: Là người chơi, tôi muốn Camera có góc nhìn rộng và mạnh mẽ hơn khi thực hiện cú Drift để tăng cảm giác phấn khích của dòng game Arcade",06/18/2026 02:39 PM,Giang Dương Võ Trà,"",""
478,"Là người chơi, tôi muốn Camera của xe tự động điều chỉnh khoảng cách và trường nhìn (FOV) theo tốc độ hiện tại của xe để cảm nhận được sự gia tốc và tốc độ một cách chân thực, đồng thời có tầm nhìn bao quát hơn khi đua ở vận tốc cao.",User story,Specified,Phước Hồ Đức,Normal,"",8.0,"",Game Design,"","","",VNRacing,237,Feature #336: CAMERA,06/18/2026 02:41 PM,Phước Hồ Đức,"","\- Biến thiên Dynamic: Tự động điều chỉnh khoảng cách SpringArm và FOV tăng/giảm mượt mà theo vận tốc thực tế thông qua các biểu đồ Curve thiết lập sẵn.&nbsp;  
\-Hiệu ứng Tốc độ: Kích hoạt các lớp hiệu ứng thị giác theo mốc vận tốc: Motion Blur (Không/Bình thường/Mạnh) và tăng Vignette (tối góc) khi vượt ngưỡng 200 km/h.   
\-Logic Cộng dồn: Các thay đổi camera theo tốc độ phải được tính toán cộng dồn với các trạng thái camera khác (Steering, NOS) và tuân thủ quy tắc trễ 10 giây đầu trận của camera địa hình."
479,Dev_Implement_Camera Theo speed,Summary task,In specification,Long Trần Anh Thượng,Normal,"",8.0,"",Dev,"","","",VNRacing,238,"User story #478: Là người chơi, tôi muốn Camera của xe tự động điều chỉnh khoảng cách và trường nhìn (FOV) theo tốc độ hiện tại của xe để cảm nhận được sự gia tốc và tốc độ một cách chân thực, đồng thời có tầm nhìn bao quát hơn khi đua ở vận tốc cao.",06/18/2026 02:49 PM,Giang Dương Võ Trà,"",""
480,TA_Setting_Camera Theo speed,Summary task,In specification,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,239,"User story #478: Là người chơi, tôi muốn Camera của xe tự động điều chỉnh khoảng cách và trường nhìn (FOV) theo tốc độ hiện tại của xe để cảm nhận được sự gia tốc và tốc độ một cách chân thực, đồng thời có tầm nhìn bao quát hơn khi đua ở vận tốc cao.",06/18/2026 02:49 PM,Giang Dương Võ Trà,"",""
481,GD_Play Test_Camera_NOS,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,240,"User story #377: Là người chơi, tôi muốn thấy hiệu ứng Camera giật mạnh và thay đổi tiêu cự khi dùng NOS để cảm nhận được gia tốc cực đại của xe",06/18/2026 03:18 PM,Giang Dương Võ Trà,"",""
482,Setting_US377 - Camera - NOS,Task,In progress,Phú Phạm Tấn,Normal,4.0,"","",TechArt,"","","",VNRacing,241,Summary task #472: TA_Setting_US377 - Camera - NOS,06/18/2026 03:32 PM,Giang Dương Võ Trà,"",""
483,GD_Play test_US 478_Camera Theo speed,Task,New,"",Normal,"","","",Game Design,"","","",VNRacing,242,"User story #478: Là người chơi, tôi muốn Camera của xe tự động điều chỉnh khoảng cách và trường nhìn (FOV) theo tốc độ hiện tại của xe để cảm nhận được sự gia tốc và tốc độ một cách chân thực, đồng thời có tầm nhìn bao quát hơn khi đua ở vận tốc cao.",06/18/2026 03:39 PM,Giang Dương Võ Trà,"",""
484,Điều chỉnh camera theo speed,Task,New,Như Trương,Normal,8.0,"","",Dev,"","","",VNRacing,243,Summary task #479: Dev_Implement_Camera Theo speed,06/18/2026 03:44 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
485,Dev_Implement_US355_Được chọn track trên bản đồ,Summary task,Specified,Long Trần Anh Thượng,Normal,"",48.0,"",Dev,"","","",VNRacing,245,"User story #466: Là Player, tôi muốn Area được chọn trên bản đồ VN Tour sẽ được highlight và TrackList xuất hiện kèm theo hiệu ứng animation để tôi có phản hồi thị giác rõ ràng về vị trí địa lý đang chọn.",06/18/2026 05:25 PM,Giang Dương Võ Trà,"",""
486,"Hoàn thiện, đóng gói chức năng CDN",Task,New,Sơn Nguyễn Nam,Normal,24.0,"","",Dev,"","","",VNRacing,246,"User story #446: Hoàn thiện, đóng gói CDN feature",06/19/2026 09:22 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
487,Tích hợp quy trình CDN vào trong CI/CD,Task,New,Chánh Tông Nguyễn,Normal,16.0,"","",Dev,"","","",VNRacing,247,"User story #446: Hoàn thiện, đóng gói CDN feature",06/19/2026 09:25 AM,Long Trần Anh Thượng,P.H. Tan,""
488,Dev_Implement_US308_Debug Unlock City ,Summary task,In specification,Long Trần Anh Thượng,Normal,"",20.0,"",Dev,"","","",VNRacing,248,"User story #308: Là QC, tôi muốn có khả năng hoàn thành nhanh các City từ C1 - C5 và ngược lại để Review hạng mục liên quan tới City đó như Cash, Unlock Cars, Car Rating, v.v",06/19/2026 09:56 AM,Giang Dương Võ Trà,"",""
489,"Là player, tôi muốn được lựa chọn thay đổi các phụ kiện cho 6 vị trí trên xe để tạo phong cách độc đáo cho xe của mình.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,249,Sub Feature #555: Customize Body Parts,06/19/2026 03:39 PM,Giang Dương Võ Trà,"","*   Cung cấp đầy đủ **6 vị trí tùy chỉnh** trên xe bao gồm: Cản trước (Front Bumper), Cản sau (Rear Bumper), Ốp sườn (Sideboard), Cánh gió (Spoiler), Nóc xe (Roof) và Vành xe (Wheel).
    
*   Đối với các phụ kiện đã sở hữu hoặc đã mở khóa, giá lắp đặt hiển thị trên giao diện phải luôn là **$0.**
    
*   Khi người chơi thay đổi một bộ phận (Part Visual), bộ phận đó phải chạy **hiệu ứng nhấp nháy** để báo hiệu việc thay đổi đã được ghi nhận."
490,"Là người chơi, tôi muốn thay đổi màu sơn, chất liệu hoặc dán tem trang trí cho xe để làm nổi bật bản sắc cá nhân",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,250,Sub Feature #556: Customize Paints & Decals,06/19/2026 03:40 PM,Giang Dương Võ Trà,"","*   Cung cấp ít nhất **15 loại vật liệu/màu sơn** (cho cả thân xe và vành xe) và **5 loại tem dán (Decals) cho mỗi loại xe.**
    
*   **Người chơi chỉ được phép chọn Materials hoặc Decals trong cùng một lúc, việc chọn một loại mới sẽ thay thế loại cũ.**
    
*   **Khi người chơi xác nhận đổi màu sơn hoặc tem dán, toàn bộ thân xe phải chạy một hiệu ứng đổi Material sinh động.**"
491,"Là Player, tôi muốn có thể trang trí decal lên xe của mình ",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,251,Sub Feature #556: Customize Paints & Decals,06/19/2026 03:42 PM,Giang Dương Võ Trà,"",""
492,Block out_Keyframe_Map Hồ Thuỷ Tiên ,Summary task,In progress,Nhật Võ Tấn,Normal,"",24.0,"",Level,"","","",VNRacing,252,User story #195: Map Hồ Thuỷ Tiên,06/20/2026 10:33 AM,Giang Dương Võ Trà,"",""
493,Block Key frame_Hồ Thuỷ Tiên Sprint,Task,Waiting for approve,Nhật Võ Tấn,Normal,6.0,"","",Level,"","","",VNRacing,253,Summary task #492: Block out_Keyframe_Map Hồ Thuỷ Tiên ,06/20/2026 10:39 AM,Giang Dương Võ Trà,"",""
494,Block Keyframe_Hồ Thuỷ Tiên_Time Attack,Task,Waiting for approve,Nhật Võ Tấn,Normal,12.0,"","",Level,"","","",VNRacing,254,Summary task #492: Block out_Keyframe_Map Hồ Thuỷ Tiên ,06/20/2026 10:54 AM,Giang Dương Võ Trà,"",""
495,Block Keyframe_Hồ Thuỷ Tiên_Circuit,Task,In progress,Nhật Võ Tấn,Normal,6.0,"","",Level,"","","",VNRacing,255,Summary task #492: Block out_Keyframe_Map Hồ Thuỷ Tiên ,06/20/2026 10:54 AM,Giang Dương Võ Trà,"",""
496,UI/UX | Minimap Design Asset ,Summary task,In specification,Ty Đặng Công Hoàng,Normal,"","","",UI,"","","",VNRacing,256,"User story #391: Là người chơi, tôi muốn MiniMap hiển thị lộ trình, vị trí đối thủ và các điểm mốc quan trọng, đồng thời tự động thay đổi mức thu phóng theo tốc độ xe để hỗ trợ quan sát và định hướng hiệu quả trong suốt cuộc đua.",06/20/2026 11:03 AM,Giang Dương Võ Trà,"",""
497,Setting_Camera_Drifting,Task,In progress,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,257,Summary task #469: TA_Setting_Camera_Drifting,06/20/2026 11:17 AM,Giang Dương Võ Trà,"",""
498,Setting_Camera Theo speed,Task,New,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,258,Summary task #480: TA_Setting_Camera Theo speed,06/20/2026 11:21 AM,Giang Dương Võ Trà,"",""
499,GD_Play test_US309_Debug kích hoạt trao thưởng - Tỉ lệ trao thưởng ,Task,New,"",Normal,2.0,"","",Game Design,"","","",VNRacing,259,"User story #309: 	Là QA, tôi muốn có khả năng kích hoạt trao thưởng bất kỳ lúc nào trong Game để check xem tỉ lệ trao thưởng có hợp lý hay không.",06/22/2026 10:10 AM,Giang Dương Võ Trà,"",""
500,GD_Play test_261_Debug Reload Goal ... kích hoạt hoàn thành trao thưởng,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,260,"User story #261: Là QA, tôi muốn có khả năng Reload lại Goals của các City, thay đổi Progress của các Goals và kích hoạt hoàn thành trao thưởng cho các Goals đó để thuận tiện cho việc kiểm tra tính khả thi và hấp dẫn của các Goals trong từng City.",06/22/2026 10:14 AM,Giang Dương Võ Trà,"",""
501,Kiểm tra toàn bộ flow của hệ thống city và debug tương ứng,Task,In progress,Thịnh Nguyễn Cửu Đức,Normal,20.0,"","",Dev,"","","",VNRacing,261,Summary task #488: Dev_Implement_US308_Debug Unlock City ,06/22/2026 10:38 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
502,TA_Setting_Camera_Collsion,Summary task,Scheduled,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,262,"User story #378: Là người chơi, tôi muốn Camera có phản hồi rung động khi va chạm để nhận biết được mức độ thiệt hại và tác động vật lý",06/22/2026 10:47 AM,Giang Dương Võ Trà,"",""
503,Setting Camera Collsion,Task,New,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,263,Summary task #502: TA_Setting_Camera_Collsion,06/22/2026 10:47 AM,Giang Dương Võ Trà,"",""
504,Dev_Implement_Level_Huế Đại Nội ,Summary task,Specified,Long Trần Anh Thượng,Normal,"",6.0,"",Dev,"","","",VNRacing,264,User story #170: Map Huế Đại Nội ,06/22/2026 04:49 PM,Giang Dương Võ Trà,"",""
555,Customize Body Parts,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,266,Feature #401: Car Customize Visual,06/23/2026 01:01 PM,Phước Hồ Đức,"","Lựa chọn và lắp đặt phụ kiện cho 6 vị trí trên xe  
\- Front Bumper  
\- Rear Bumper  
\- Sideboard  
\- Roof  
\- Wheels  
\- Spoiler"
556,Customize Paints & Decals,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,267,Feature #401: Car Customize Visual,06/23/2026 01:03 PM,Phước Hồ Đức,"","Lựa chọn và lắp đặt các loại vật liệu và màu sắc cho thân xe (Body Material) và vành xe (Wheel Material).  
Lựa chọn và lắp đặt các loại Decals lên Body xe."
557,Customize Preview,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,268,Feature #401: Car Customize Visual,06/23/2026 01:04 PM,Phước Hồ Đức,"","Xem trước các lựa chọn chưa được Unlock.

Tự động Revert các trạng thái Customize về lựa chọn trước đó sau khi xem xong Preview."
558,Camera Functions,Sub Feature,Confirmed,"",Normal,"","","",Game Design,"","","",VNRacing,269,Feature #401: Car Customize Visual,06/23/2026 01:05 PM,Phước Hồ Đức,"","Chức năng tự động chuyển các góc quay cận cảnh vào từng bộ phận xe khi người chơi bắt đầu tùy chỉnh bộ phận đó.

Tự do xoay Camera khi người chơi ở Screen Customize tổng."
559,Car Test,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,270,Feature #401: Car Customize Visual,06/23/2026 01:06 PM,Phước Hồ Đức,"","Bật/tắt giao diện người chơi trong Customize để xem rõ các tùy chọn Customize hiện tại trên xe.  
Thêm tính năng Play test ngay lập tức để đưa xe vào map test

<br>"
560,"Là người chơi, tôi muốn được ướm thử (Preview) các món đồ chưa sở hữu để hình dung diện mạo xe trước khi quyết định mua hoặc nỗ lực mở khóa",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,271,Sub Feature #557: Customize Preview,06/23/2026 01:18 PM,Phước Hồ Đức,"","*   Tất cả các phụ kiện hiện có trong Game phải được hiển thị trong danh sách; những món chưa có trong kho đồ (Inventory) sẽ ở trạng thái **Khóa (Locked).**
    
*   Cho phép người chơi chọn các món đồ đang bị Khóa để hiển thị tạm thời trên xe, nhưng nút **Apply/Purchase** phải bị vô hiệu hóa nếu người chơi không đáp ứng đủ điều kiện
    
*   Nếu người chơi thoát khỏi màn hình tùy chỉnh mà không thực hiện hành vi mua hoặc áp dụng, xe phải **tự động trở về diện mạo hợp lệ gần nhất**"
561,"Là người chơi, tôi muốn góc quay camera tự động điều chỉnh linh hoạt theo từng bộ phận đang tùy chỉnh để có thể quan sát chi tiết nhất các thay đổi",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,272,Sub Feature #558: Camera Functions,06/23/2026 01:19 PM,Phước Hồ Đức,"","*   Khi ở màn hình tùy chỉnh tổng quát, người chơi có quyền **tự do xoay camera (Rotate)** xung quanh xe để ngắm nhìn toàn cảnh.
    
*   Khi người chơi chạm vào một bộ phận cụ thể (ví dụ: Wheel hoặc Front Bumper), camera phải thực hiện hiệu ứng **chuyển cảnh (Blend)** đến vị trí cận cảnh của bộ phận đó.
    
*   Trong trạng thái đang tập trung vào một bộ phận cụ thể, chức năng xoay camera tự do sẽ bị **tạm khóa** để đảm bảo người chơi quan sát rõ chi tiết đang chỉnh sửa."
562,"Là người chơi, tôi muốn ẩn toàn bộ giao diện điều khiển để có thể ngắm nhìn chiếc xe của mình một cách trọn vẹn nhất không bị cản trở",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,273,Sub Feature #559: Car Test,06/23/2026 01:20 PM,Phước Hồ Đức,"","*   Khi bấm vào nút **Hide UI**, tất cả các bảng chọn, nút bấm điều hướng và thông tin nhân vật phải biến mất hoàn toàn khỏi màn hình.
    
*   Trong chế độ ẩn giao diện, người chơi vẫn có thể **tự do xoay camera** để quan sát xe dưới mọi góc độ (trừ khi camera đang bị khóa ở một bộ phận cụ thể).
    
*   Hệ thống chỉ hiển thị duy nhất một nút bấm **Show UI** (hoặc nút Back) để người chơi có thể khôi phục lại giao diện làm việc bất cứ lúc nào."
563,Core Upgrades,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,274,Feature #402: Car Customize Performance,06/23/2026 01:38 PM,Phước Hồ Đức,"",*   4 hạng mục nâng cấp Performance của xe và 6 mốc nâng cấp của từng hạng mục.
564,Car CR Calculations,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,275,Feature #402: Car Customize Performance,06/23/2026 01:38 PM,Phước Hồ Đức,"",*   Phương pháp tính toán chỉ số sức mạnh xe.
565,Performance Test Drive,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,276,Feature #402: Car Customize Performance,06/23/2026 01:39 PM,Phước Hồ Đức,"",*   Chế độ lái thử xe trong Customize Performance.
566,"Là người chơi, tôi muốn nâng cấp các chỉ số quan trọng của xe (Tốc độ, Gia tốc, Độ bám đường, Nitro) qua 6 mốc khác nhau để xe trở nên mạnh mẽ hơn, đủ sức chinh phục các đối thủ tại những thành phố có độ khó cao",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,277,Sub Feature #563: Core Upgrades,06/23/2026 01:40 PM,Phước Hồ Đức,"","*   **4 Hạng mục nâng cấp:** Hệ thống phải cung cấp đủ 4 mục nâng cấp riêng biệt: **Speed** (Tốc độ), **Acceleration** (Gia tốc), **Grip** (Độ bám đường) và **Nitro**.
    
*   **6 Cấp độ nâng cấp:** Mỗi hạng mục có 6 mốc tiến trình từ **Lv0 đến Lv6**. Khi đạt đến Lv6, giao diện phải hiển thị nhãn &quot;**MAX**&quot; thay vì số cấp độ.
    
*   **Yêu cầu tài nguyên:**
    
    *   Từ **Lv0 → Lv3**: Người chơi chỉ cần chi trả bằng **Cash**.
        
    *   Từ **Lv4 → Lv6**: Yêu cầu kết hợp cả **Cash** và **Performance Items** (vật phẩm hiệu năng).
        
*   Chi phí nâng cấp (Cash) phải tăng dần qua từng cấp độ và được nhân với **ScaleIndex** tương ứng của thành phố hiện tại để đảm bảo tính thử thách."
567,"Là người chơi, tôi muốn thấy điểm chỉ số sức mạnh (Car Rating - CR) của xe được cập nhật ngay khi tôi thực hiện nâng cấp để biết chính xác đẳng cấp hiện tại của phương tiện so với mặt bằng chung",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,278,Sub Feature #564: Car CR Calculations,06/23/2026 01:42 PM,Phước Hồ Đức,"","*   Điểm CR phải được hệ thống tự động tính toán dựa trên 3 chỉ số: **Speed, Acceleration và Grip**, kết hợp với hệ số sai lệch **D** để phản ánh đúng thực tế hiệu năng.
    
*   Việc nâng cấp chỉ số **Nitro** tuyệt đối **không được làm thay đổi** điểm CR hiển thị của xe.
    
*   **Phân vùng chỉ số:**
    
    *   **Global CR:** Điểm tổng phải nằm trong dải từ **0 đến 18** để so sánh toàn game.
        
    *   **Local CR:** Mỗi xe có dải sức mạnh riêng (0-6) được mapping lên trục Global CR tùy theo phân khúc xe đó.
        
*   Chỉ số CR trên UI phải được làm mới ngay sau khi người chơi bấm xác nhận mua (Purchase) một hạng mục nâng cấp hợp lệ."
568,"Là người chơi, tôi muốn có thể đưa chiếc xe vừa nâng cấp vào chạy thử nghiệm trong môi trường thực tế để cảm nhận sự khác biệt về cảm giác lái và tốc độ trước khi tham gia các giải đua chính thức.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,279,Sub Feature #565: Performance Test Drive,06/23/2026 01:43 PM,Phước Hồ Đức,"","*   Nút &quot;**Test Drive**&quot; phải xuất hiện trực tiếp ngay trong màn hình Customize Performance để người chơi không phải quay lại menu chính.
    
*   Cho phép người chơi tùy chỉnh số lượng vòng đua thử nghiệm từ **1 đến 5 vòng.**
    
*   **Sử dụng xe hiện tại của người chơi trong một track đua chuyên biệt dành cho việc kiểm thử. (Click Circuit đã làm)**"
569,Nghiên cứu multiplayer dựa trên yêu cầu sơ bộ của feature list,Task,In progress,Khan Vương Huỳnh,Normal,16.0,"","",Dev,"","","",VNRacing,280,Feature #273: MULTIPLAYER,06/23/2026 01:58 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,"Dựa trên yêu cầu feature list sơ bộ này, nghiên cứu các kỹ thuật cần thiết và báo cáo lại

<figure class=""image op-uc-figure""><div class=""op-uc-figure--content""><img class=""op-uc-image"" src=""https://media.discordapp.net/attachments/1427156301150163005/1518457066639982592/image.png?ex=6a3b4e58&amp;is=6a39fcd8&amp;hm=0f8d4587dcb80d0900e6497eec824562071f42ee053d2b88bbc0bb5583e7f720&amp;=&amp;format=webp&amp;quality=lossless&amp;width=1616&amp;height=906"" alt=""Image""></div></figure>"
570,"Là người chơi, tôi muốn có thể lựa chọn các hạng mục độ xe bằng cách chạm trực tiếp vào các điểm đánh dấu (dấu chấm trắng) trên thân xe để tương tác với phương tiện một cách trực quan và nhanh chóng truy cập vào bộ phận mình muốn thay đổi.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,281,Sub Feature #555: Customize Body Parts,06/23/2026 02:07 PM,Phước Hồ Đức,"","*   Khi ở trong màn hình **Customize Visual**, hệ thống phải hiển thị các dấu chấm trắng (Hotspots) tại 6 vị trí có thể tùy chỉnh trên model xe 3D bao gồm: Cản trước, Cản sau, Ốp sườn, Cánh gió, Nóc xe và Vành xe
    
*   Người chơi có thể chạm (Tap) trực tiếp vào các dấu chấm này trên thân xe để thay đổi hạng mục tùy chỉnh hiện tại thay vì chỉ sử dụng bảng menu icon bên trái màn hình.
    
*   Ngay khi người chơi vào **Garage**, xe phải thực hiện hiệu ứng nhấp nháy toàn thân để báo hiệu cho người chơi biết rằng họ có thể chạm trực tiếp vào các điểm trên xe để bắt đầu tùy chỉnh."
574,Dev_Implement_US351_Drift để thu thập NOS,Summary task,In specification,Long Trần Anh Thượng,Normal,"",2.0,"",Dev,"","","",VNRacing,282,"User story #351:  Tôi muốn có cảm giác đua xe ARCADE , DRIFT để thu thập NOS ",06/23/2026 02:46 PM,Giang Dương Võ Trà,"",""
575,Implement NOS function,Task,New,Đạt Quảng Tấn,Normal,2.0,"","",Dev,"","","",VNRacing,283,Summary task #574: Dev_Implement_US351_Drift để thu thập NOS,06/23/2026 02:51 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
576,Đặc tả kiến trúc & Nghiệp vụ cho Daily challange,Task,In progress,Đạt Quảng Tấn,Normal,8.0,"","",Dev,"","","",VNRacing,284,"User story #432: Là người chơi, tôi muốn có các nhiệm vụ Daily Challenge nhiều thể loại",06/23/2026 03:10 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
